Name,Treatment,County
GILLIS_1_S2_L001_R1.fastq.gz,IR,Tift
GILLIS_1_S2_L001_R2.fastq.gz,IR,Tift
GILLIS_10_S11_L001_R1.fastq.gz,IC,Worth
GILLIS_10_S11_L001_R2.fastq.gz,IC,Worth
GILLIS_11_S12_L001_R1.fastq.gz,IC,Colquitt
GILLIS_11_S12_L001_R2.fastq.gz,IC,Colquitt
GILLIS_12_S13_L001_R1.fastq.gz,DR,Cook
GILLIS_12_S13_L001_R2.fastq.gz,DR,Cook
GILLIS_13_S14_L001_R1.fastq.gz,IR,Cook
GILLIS_13_S14_L001_R2.fastq.gz,IR,Cook
GILLIS_14_S15_L001_R1.fastq.gz,IC,Colquitt
GILLIS_14_S15_L001_R2.fastq.gz,IC,Colquitt
GILLIS_15_S16_L001_R1.fastq.gz,IC,Cook
GILLIS_15_S16_L001_R2.fastq.gz,IC,Cook
GILLIS_16_S17_L001_R1.fastq.gz,DC,Tift
GILLIS_16_S17_L001_R2.fastq.gz,DC,Tift
GILLIS_17_S18_L001_R1.fastq.gz,DC,Colquitt
GILLIS_17_S18_L001_R2.fastq.gz,DC,Colquitt
GILLIS_18_S19_L001_R1.fastq.gz,DR,Colquitt
GILLIS_18_S19_L001_R2.fastq.gz,DR,Colquitt
GILLIS_19_S20_L001_R1.fastq.gz,IC,Cook
GILLIS_19_S20_L001_R2.fastq.gz,IC,Cook
GILLIS_2_S3_L001_R1.fastq.gz,DR,Tift
GILLIS_2_S3_L001_R2.fastq.gz,DR,Tift
GILLIS_20_S21_L001_R1.fastq.gz,IR,Cook
GILLIS_20_S21_L001_R2.fastq.gz,IR,Cook
GILLIS_3_S4_L001_R1.fastq.gz,DC,Worth
GILLIS_3_S4_L001_R2.fastq.gz,DC,Worth
GILLIS_4_S5_L001_R1.fastq.gz,DR,Cook
GILLIS_4_S5_L001_R2.fastq.gz,DR,Cook
GILLIS_5_S6_L001_R1.fastq.gz,IR,Cook
GILLIS_5_S6_L001_R2.fastq.gz,IR,Cook
GILLIS_6_S7_L001_R1.fastq.gz,DR,Tift
GILLIS_6_S7_L001_R2.fastq.gz,DR,Tift
GILLIS_7_S8_L001_R1.fastq.gz,DC,Tift
GILLIS_7_S8_L001_R2.fastq.gz,DC,Tift
GILLIS_8_S9_L001_R1.fastq.gz,DC,Colquitt
GILLIS_8_S9_L001_R2.fastq.gz,DC,Colquitt
GILLIS_9_S10_L001_R1.fastq.gz,IR,Tift
GILLIS_9_S10_L001_R2.fastq.gz,IR,Tift
GILLIS_C1_S1_L001_R1.fastq.gz,Control,N/a
GILLIS_C1_S1_L001_R2.fastq.gz,Control,N/a
GILLIS_C2_S22_L001_R1.fastq.gz,Control,N/a
GILLIS_C2_S22_L001_R2.fastq.gz,Control,N/a
